"No.","Time","Source","Destination","Protocol","Length","Info"
"88","2.236200585","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"89","2.236200659","192.168.1.7","192.168.1.6","FTP-DATA","1514","FTP Data: 1460 bytes"
"90","2.236245375","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=117329 Win=64128 Len=0"
"91","2.236339813","192.168.1.7","192.168.1.6","FTP-DATA","2974","FTP Data: 2920 bytes"
"92","2.236351744","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=120249 Win=70016 Len=0"
"93","2.236339977","192.168.1.7","192.168.1.6","FTP-DATA","1514","FTP Data: 1460 bytes"
"94","2.236361744","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=121709 Win=72960 Len=0"
"95","2.236476119","192.168.1.7","192.168.1.6","FTP-DATA","1514","FTP Data: 1460 bytes"
"96","2.236486522","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=123169 Win=75776 Len=0"
"97","2.236476270","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"98","2.236500617","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=127549 Win=84608 Len=0"
"99","2.236476295","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"100","2.236507560","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=131929 Win=93312 Len=0"
"101","2.236476320","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"102","2.236515175","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=136309 Win=102144 Len=0"
"103","2.236529946","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"104","2.236533206","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=140689 Win=110848 Len=0"
"105","2.236529989","192.168.1.7","192.168.1.6","FTP-DATA","2974","FTP Data: 2920 bytes"
"106","2.236540323","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=143609 Win=116736 Len=0"
"107","2.236530021","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"108","2.236546685","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=147989 Win=125440 Len=0"
