"No.","Time","Source","Destination","Protocol","Length","Info"
"77","2.683498464","192.168.1.6","192.168.1.7","TCP","54","20  >  50483 [ACK] Seq=1 Ack=119716 Win=90368 Len=0"
"78","2.683521393","192.168.1.7","192.168.1.6","FTP-DATA","4434","FTP Data: 4380 bytes"
"79","2.683526896","192.168.1.6","192.168.1.7","TCP","54","20  >  50483 [ACK] Seq=1 Ack=124096 Win=99200 Len=0"
"80","2.683521454","192.168.1.7","192.168.1.6","FTP-DATA","3014","FTP Data: 2960 bytes"
"81","2.683537251","192.168.1.6","192.168.1.7","TCP","54","20  >  50483 [ACK] Seq=1 Ack=127056 Win=105088 Len=0"
"82","2.683521490","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"83","2.683549764","192.168.1.6","192.168.1.7","TCP","54","20  >  50483 [ACK] Seq=1 Ack=131152 Win=113280 Len=0"
"84","2.683560770","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"85","2.683566527","192.168.1.6","192.168.1.7","TCP","54","20  >  50483 [ACK] Seq=1 Ack=135248 Win=121472 Len=0"
"86","2.683560823","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"87","2.683597468","192.168.1.6","192.168.1.7","TCP","54","20  >  50483 [ACK] Seq=1 Ack=139344 Win=129664 Len=0"
"88","2.683560853","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"89","2.683612679","192.168.1.6","192.168.1.7","TCP","54","20  >  50483 [ACK] Seq=1 Ack=143440 Win=137856 Len=0"
"90","2.683633744","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"91","2.683639614","192.168.1.6","192.168.1.7","TCP","54","20  >  50483 [ACK] Seq=1 Ack=147536 Win=146048 Len=0"
"92","2.683633793","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
