"No.","Time","Source","Destination","Protocol","Length","Info"
"291","2.714331","157.253.230.90","157.253.212.244","FTP","105","Response: 200 PORT command successful. Consider using PASV."
"293","2.734432","157.253.230.90","157.253.212.244","TCP","74","20  >  50094 [SYN] Seq=0 Win=64240 Len=0 MSS=1250 SACK_PERM=1 TSval=880934117 TSecr=0 WS=128"
"295","2.737737","157.253.230.90","157.253.212.244","TCP","66","20  >  50094 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=880934124 TSecr=1880902781"
"296","2.738987","157.253.230.90","157.253.212.244","FTP","125","Response: 150 Opening BINARY mode data connection for 45m.mp4 (46238994 bytes)."
"297","2.740507","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 45m.mp4)"
"298","2.742414","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 45m.mp4)"
"300","2.754603","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 45m.mp4)"
"301","2.757686","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 45m.mp4)"
"303","2.759282","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 45m.mp4)"
"304","2.764610","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 45m.mp4)"
"306","2.767758","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 45m.mp4)"
"307","2.769638","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 45m.mp4)"
"309","2.771751","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 45m.mp4)"
"310","2.774065","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 45m.mp4)"
"312","2.776792","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 45m.mp4)"
"313","2.779359","157.253.230.90","157.253.212.244","FTP-DATA","8732","FTP Data: 8666 bytes (PORT) (RETR 45m.mp4)"
"315","2.783510","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 45m.mp4)"
"316","2.783510","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 45m.mp4)"
"317","2.783510","157.253.230.90","157.253.212.244","FTP-DATA","2542","FTP Data: 2476 bytes (PORT) (RETR 45m.mp4)"
"318","2.783510","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 45m.mp4)"
